ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_ID_	SOURCE_SCORE_	SOURCE_ID
1670	Portuguese	Indo-European	ABSTAIN FROM FOOD	jejuar	jejuar	ʒ e ʒ u a ʁ					
3438	Spanish	Indo-European	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ					
4875	Yaqui	Uto-Aztecan	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a			3438	0.9350	
6140	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h			3438	0.8009	
6141	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l			3438	0.7506	
7909	Qeqchi	Mayan	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ			3438	0.8860	
7910	Qeqchi	Mayan	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	Spanish	ayunar	3438	0.6535	
10146	Otomi	Otomanguean	ABSTAIN FROM FOOD	behe	behe	b e h e			3438	0.7303	
10147	Otomi	Otomanguean	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e			3438	0.8832	
11313	ImbaburaQuechua	Quechuan	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a	Spanish	ayunar	3438	0.4850	
12536	Wichi	Matacoan	ABSTAIN FROM FOOD	lhicheyhat	lhicheyhat	lˠ i tʃ e j h a t			3438	0.7538	
1635	Portuguese	Indo-European	ACCUSE	acusar	acusar	a k u z a ʁ					
3399	Spanish	Indo-European	ACCUSE	acusar	acusar	a k u s a ɾ					
3400	Spanish	Indo-European	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ					
4844	Yaqui	Uto-Aztecan	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a			3399	0.4696	
4845	Yaqui	Uto-Aztecan	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e			3399	0.7299	
7874	Qeqchi	Mayan	ACCUSE	jitok	jitok	x i t o kʰ			3399	0.7050	
10097	Otomi	Otomanguean	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i			3399	0.6185	
10098	Otomi	Otomanguean	ACCUSE	mämbi	mämbi	m ɐ m b i			3400	0.9023	
11289	ImbaburaQuechua	Quechuan	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a			3400	0.6467	
12516	Wichi	Matacoan	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x			3400	0.6106	
13766	Mapudungun	Araucanian	ACCUSE	zallun	zallun	z a ʎ u n			3400	0.7237	
790	Portuguese	Indo-European	ACORN	bolota	bolota	b o l ɔ t ɐ					
2487	Spanish	Indo-European	ACORN	bellota	bellota	b e ʝ o t a					
5510	ZinacantanTzotzil	Mayan	ACORN	chochob	chochob	tʃʰ o tʃʰ o b			2487	0.6163	
6929	Qeqchi	Mayan	ACORN	ru ji	ru_ji	r u + x i			2487	0.9600	
8849	Otomi	Otomanguean	ACORN	ro	ro	r o			2487	0.9731	
1639	Portuguese	Indo-European	ACQUIT	absolver	absolver	a b s ɔu v e ʁ					
3404	Spanish	Indo-European	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ					
3405	Spanish	Indo-European	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ					
4848	Yaqui	Uto-Aztecan	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a	Spanish	culpar	3405	0.6652	
7879	Qeqchi	Mayan	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ			3405	0.8582	
10102	Otomi	Otomanguean	ACQUIT	puni	puni	p u n i			3404	0.8300	
11291	ImbaburaQuechua	Quechuan	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a			3405	0.6992	
12517	Wichi	Matacoan	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n			3404	0.5088	
1626	Portuguese	Indo-European	ADJUDICATE	julgar	julgar	ʒ uu ɡ a ʁ					
3391	Spanish	Indo-European	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ					
4835	Yaqui	Uto-Aztecan	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	Spanish	juzgar	3391	0.3465	
7865	Qeqchi	Mayan	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n			3391	0.8308	
10085	Otomi	Otomanguean	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i			3391	0.9023	
1489	Portuguese	Indo-European	ADMIT	admitir	admitir	a dʒ i m i tʃ i ʁ					
1490	Portuguese	Indo-European	ADMIT	confessar	confessar	k õ f e s a ʁ					
3252	Spanish	Indo-European	ADMIT	admitir	admitir	a ð m i t i ɾ					
3253	Spanish	Indo-European	ADMIT	confesar	confesar	k o m f e s a ɾ					
3254	Spanish	Indo-European	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ					
4739	Yaqui	Uto-Aztecan	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	Spanish	confesar	3253	0.2547	3253
6044	ZinacantanTzotzil	Mayan	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l			3253	0.7349	
7749	Qeqchi	Mayan	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l			3253	0.6253	
9887	Otomi	Otomanguean	ADMIT	hä (2)	hä	h ɐ			3253	0.9135	
9888	Otomi	Otomanguean	ADMIT	hegi	hegi	h e g i			3254	0.7354	
9889	Otomi	Otomanguean	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	Spanish	caso	3253	0.7099	
11209	ImbaburaQuechua	Quechuan	ADMIT	ari nina	ari_nina	a ɾ i + n i n a			3254	0.8224	
12427	Wichi	Matacoan	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥			3253	0.6381	
734	Portuguese	Indo-European	ADOBE	adobe	adobe	a d ɔ b i					
2425	Spanish	Indo-European	ADOBE	adobe	adobe	a ð o β e					
4088	Yaqui	Uto-Aztecan	ADOBE	saami	saami	s aː m i			2425	0.6757	
5480	ZinacantanTzotzil	Mayan	ADOBE	shamit	shamit	ʃ a m i tʰ	Nahuatl	ximi-tl	2425	0.7538	
6878	Qeqchi	Mayan	ADOBE	xan	xan	ʃ a n			2425	0.8000	
6879	Qeqchi	Mayan	ADOBE	q'ut	q'ut	qʼ u tʰ			2425	0.8128	
8781	Otomi	Otomanguean	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i			2425	0.7550	
10671	ImbaburaQuechua	Quechuan	ADOBE	adubi	adubi	a d u b i	Spanish	adobe	2425	0.2857	2425
11865	Wichi	Matacoan	ADOBE	alulis	alulis	a l u l i s	Spanish	adobe	2425	0.7077	
13136	Mapudungun	Araucanian	ADOBE	fazofe	fazofe	f a z o f e	Spanish	adobe	2425	0.2404	2425
1647	Portuguese	Indo-European	ADULTERY	adultério	adultério	a d uu t ɛ ɾ j u					
3413	Spanish	Indo-European	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o					
4856	Yaqui	Uto-Aztecan	ADULTERY	baita’a	baita’a	b a i t a ʔ a			3413	0.6716	
7887	Qeqchi	Mayan	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ			3413	0.8356	
7888	Qeqchi	Mayan	ADULTERY	muxuk	muxuk	m u ʃ u kʰ			3413	0.8028	
10112	Otomi	Otomanguean	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i			3413	0.6800	
839	Portuguese	Indo-European	ADZE	enxó	enxó	ẽ ʃ ɔ					
2544	Spanish	Indo-European	ADZE	azuela	azuela	a s w e l a					
10742	ImbaburaQuechua	Quechuan	ADZE	aswila	aswila	a s w i l a	Spanish	azuela	2544	0.0222	2544
1066	Portuguese	Indo-European	AFTER	depois	depois	d e p oi ʃ					
2792	Spanish	Indo-European	AFTER	después	después	d ɛ s p w e s					
4364	Yaqui	Uto-Aztecan	AFTER	chukula	chukula	tʃ u k u l a			2792	0.6615	
7252	Qeqchi	Mayan	AFTER	moqon	moqon	m o q o n			2792	0.8338	
9267	Otomi	Otomanguean	AFTER	‘mefa	‘mefa	ˀm e f a			2792	0.7350	
9268	Otomi	Otomanguean	AFTER	gem’bu	gem’bu	g e m ʔ b u			2792	0.6014	
9269	Otomi	Otomanguean	AFTER	'be̲fa	'be̲fa	ˀb æ f a			2792	0.7350	
10892	ImbaburaQuechua	Quechuan	AFTER	jipa	jipa	x i p a			2792	0.6684	
12100	Wichi	Matacoan	AFTER	lapesey	lapesey	l a p e s e j			2792	0.5900	
13371	Mapudungun	Araucanian	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a			2792	0.8799	
13372	Mapudungun	Araucanian	AFTER	depwe	depwe	θ e p w e	Spanish	después	2792	0.3277	
1253	Portuguese	Indo-European	AFTERNOON	tarde	tarde	t a ʁ dʒ i					
2992	Spanish	Indo-European	AFTERNOON	tarde	tarde	t a ɾ ð e					
4540	Yaqui	Uto-Aztecan	AFTERNOON	kupteo	kupteo	k u p t e o			2992	0.6250	
5860	ZinacantanTzotzil	Mayan	AFTERNOON	shmal	shmal	ʃ m a l			2992	0.7897	
7490	Qeqchi	Mayan	AFTERNOON	ewu	ewu	e w u			2992	0.7821	
9523	Otomi	Otomanguean	AFTERNOON	nde	nde	n d e			2992	0.6876	
11024	ImbaburaQuechua	Quechuan	AFTERNOON	chishi	chishi	tʃ i ʃ i			2992	0.3385	
12237	Wichi	Matacoan	AFTERNOON	hunaj	hunaj	h u n a x			2992	0.8538	
13516	Mapudungun	Araucanian	AFTERNOON	rupan antü	rupan_antü	ɻ u p a n + a n t ɨ			2992	0.8154	
1245	Portuguese	Indo-European	AGAIN	outra vez	outra_vez	o t ɾ ɐ + v e ʃ					
1246	Portuguese	Indo-European	AGAIN	de novo	de_novo	dʒ i + n ɔ v u					
2984	Spanish	Indo-European	AGAIN	otra vez	otra_vez	o t ɾ a + β e s					
2985	Spanish	Indo-European	AGAIN	de nuevo	de_nuevo	d e + n w e β o					
4532	Yaqui	Uto-Aztecan	AGAIN	intuchia	intuchia	i n t u tʃ i a			2984	0.7577	
4533	Yaqui	Uto-Aztecan	AGAIN	juchia	juchia	j u tʃ i a			2984	0.6588	
5854	ZinacantanTzotzil	Mayan	AGAIN	noshtok	noshtok	n o ʃ t o k			2985	0.7348	
7485	Qeqchi	Mayan	AGAIN	wi' chik	wi'_chik	w i ʔ + tʃ i kʰ			2984	0.7780	
9516	Otomi	Otomanguean	AGAIN	ma n’agi	ma_n’agi	m a + n ʔ a g i			2985	0.6350	
11020	ImbaburaQuechua	Quechuan	AGAIN	kutin	kutin	k u t i ŋ			2984	0.7223	
12232	Wichi	Matacoan	AGAIN	yip	yip	y i p			2985	0.8308	
13511	Mapudungun	Araucanian	AGAIN	ka wiño	ka_wiño	k a + w i ɲ o			2985	0.5877	
1213	Portuguese	Indo-European	AGE	idade	idade	i d a dʒ i					
2945	Spanish	Indo-European	AGE	edad	edad	e ð a ð					
4498	Yaqui	Uto-Aztecan	AGE	wasuktia	wasuktia	w a s u k t i a			2945	0.5928	
5829	ZinacantanTzotzil	Mayan	AGE	ch’iel	ch’iel	tʃʼ i e l			2945	0.7622	
7443	Qeqchi	Mayan	AGE	xchi hab’	xchi_hab’	ʃ tʃ i + h a ɓ			2945	0.9010	
9469	Otomi	Otomanguean	AGE	je̲ya	je̲ya	x æ j a			2945	0.7385	
12213	Wichi	Matacoan	AGE	nekchom	nekchom	n e k tʃ o m			2945	0.6615	
12214	Wichi	Matacoan	AGE	anio	anio	a n i o	Spanish	año	2945	0.7323	
13487	Mapudungun	Araucanian	AGE	tripantu	tripantu	ʈʂ i p a n t u			2945	0.7104	
76	Portuguese	Indo-European	AIR	ar	ar	a ʁ					
1757	Spanish	Indo-European	AIR	aire	aire	a i ɾ e					
3507	Yaqui	Uto-Aztecan	AIR	jeeka	jeeka	j eː k a			1757	0.7046	
4944	ZinacantanTzotzil	Mayan	AIR	7ik’	7ik’	ʔ i kʼ			1757	0.8735	
6210	Qeqchi	Mayan	AIR	iq’	iq’	i qʼ			1757	0.8022	
7993	Otomi	Otomanguean	AIR	ndähi	ndähi	n d ɐ h i			1757	0.8000	
10209	ImbaburaQuechua	Quechuan	AIR	samay	samay	s a m a j			1757	0.7641	
11367	Wichi	Matacoan	AIR	layalh	layalh	l a j a l̥	Pilagá	layat	1757	0.7641	
12606	Mapudungun	Araucanian	AIR	kürüf	kürüf	k ɨ ɻ ɨ f			1757	0.4641	
601	Portuguese	Indo-European	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e b i d ɐ + f e ʁ m ẽ t a d ɐ					
2293	Spanish	Indo-European	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e β i ð a + f ɛ ɾ m e n t a ð a					
3974	Yaqui	Uto-Aztecan	ALCOHOL (FERMENTED DRINK)	ba’ajipo’okoim	ba’ajipo’okoim	b a ʔ a j i p o ʔ o k o i m			2293	0.8646	
6757	Qeqchi	Mayan	ALCOHOL (FERMENTED DRINK)	b’oj	b’oj	ɓ o x			2293	0.9385	
6758	Qeqchi	Mayan	ALCOHOL (FERMENTED DRINK)	ani (2)	ani	a n i			2293	0.9050	
8622	Otomi	Otomanguean	ALCOHOL (FERMENTED DRINK)	sei	sei	s e i			2293	1.0280	
10590	ImbaburaQuechua	Quechuan	ALCOHOL (FERMENTED DRINK)	asua	asua	a s u a			2293	0.9326	
11774	Wichi	Matacoan	ALCOHOL (FERMENTED DRINK)	hat’es	hat’es	h a t ʔ e s			2293	0.8457	
1186	Portuguese	Indo-European	ALL	cada	cada	k a d ɐ					
1187	Portuguese	Indo-European	ALL	tudo	tudo	t u d u					
2919	Spanish	Indo-European	ALL	cada	cada	k a ð a					
2920	Spanish	Indo-European	ALL	todo	todo	t o ð o					
4477	Yaqui	Uto-Aztecan	ALL	si’ime (2)	si’ime	s i ʔ i m e			2919	0.7385	
5813	ZinacantanTzotzil	Mayan	ALL	kotol	kotol	k o t o l			2919	0.3516	
5814	ZinacantanTzotzil	Mayan	ALL	labal	labal	l a ɓ a l			2919	0.7582	
7400	Qeqchi	Mayan	ALL	chi junil	chi_junil	tʃ i + x u n i l			2919	0.7430	
7401	Qeqchi	Mayan	ALL	anchal	anchal	a n tʃ a l			2919	0.6286	
7402	Qeqchi	Mayan	ALL	rek’	rek’	r e kʼ			2919	0.8545	
9426	Otomi	Otomanguean	ALL	ga̲tho	ga̲tho	g ɔ θ o			2919	0.0667	2919
9427	Otomi	Otomanguean	ALL	kadu̲	kadu̲	k a d u	Spanish	cada	2919	0.1667	2919
9428	Otomi	Otomanguean	ALL	ta̲t’i	ta̲t’i	t̪ ɔ t̪ʼ i			2920	0.2000	2920
10979	ImbaburaQuechua	Quechuan	ALL	tukuy	tukuy	t u k u j			2920	0.5231	
12196	Wichi	Matacoan	ALL	nufwu	nufwu	n u fʷ u			2919	0.7333	
13464	Mapudungun	Araucanian	ALL	kom	kom	k o m			2919	0.5105	
1545	Portuguese	Indo-European	ALLOW OR PERMIT	deixar	deixar	d ei ʃ a ʁ					
1546	Portuguese	Indo-European	ALLOW OR PERMIT	permitir	permitir	p e ʁ m i tʃ i ʁ					
3312	Spanish	Indo-European	ALLOW OR PERMIT	permitir	permitir	p ɛ ɾ m i t i ɾ					
3313	Spanish	Indo-European	ALLOW OR PERMIT	dejar	dejar	d e x a ɾ					
1658	Portuguese	Indo-European	ALTAR	altar	altar	au t a ʁ					
3423	Spanish	Indo-European	ALTAR	altar	altar	a l t a ɾ					
4865	Yaqui	Uto-Aztecan	ALTAR	altaar	altaar	a l t aː r	Spanish	altar	3423	0.0000	3423
6128	ZinacantanTzotzil	Mayan	ALTAR	7altal	7altal	ʔ a l t a l	Spanish	altar	3423	0.2581	3423
7898	Qeqchi	Mayan	ALTAR	artal	artal	a ɾ t a l	Spanish	altar	3423	0.3000	
10125	Otomi	Otomanguean	ALTAR	ntsaya jwä	ntsaya_jwä	n ts a j a + xʷ ɐ			3423	0.8704	
10126	Otomi	Otomanguean	ALTAR	tsita	tsita	ts i t̪ a			3423	0.5429	
10127	Otomi	Otomanguean	ALTAR	ata	ata	a t̪ a	Spanish	altar	3423	0.4128	
11305	ImbaburaQuechua	Quechuan	ALTAR	altar	altar	a l t a ɾ	Spanish	altar	3423	0.0000	3423
12526	Wichi	Matacoan	ALTAR	altal	altal	a l t a l	Spanish	altar	3423	0.1500	3423
1238	Portuguese	Indo-European	ALWAYS	sempre	sempre	s ẽ p ɾ i					
2976	Spanish	Indo-European	ALWAYS	siempre	siempre	s j e m p ɾ e					
4522	Yaqui	Uto-Aztecan	ALWAYS	jiba	jiba	j i b a			2976	0.4564	
